utt,labels,tokenized
all of those have been cleared,['0'],[0]
awaken you E1 s,['Room'],[3]
yeah,['0'],[0]
okay this I'm just going to put this guy right here there you go I guess I'm not getting the room sorry,['0'],[0]
yeah I got to be careful I think they're sitting there with the controls waiting too,['0'],[0]
to drop role on us,['0'],[0]
Tropic Rubble okay,['Rubble'],[7]
I said be careful medic whenever you're not near the engineer I'd say that's when you're likely to,"['Engineer', 'Medic']","[4, 6]"
yeah I'm I'm honestly transporting a couple of the critical ones right now,"['CriticalVictim', 'YesNoQuestion']","[1, 18]"
okay,['0'],[0]
okay,['0'],[0]
just until engineer your back on this side or someone's back on this side so I can get the other critical Zone because there's a lot on this side,"['Engineer', 'Plan']","[4, 20]"
okay I'll be over,"['Plan', 'Move']","[20, 10]"
I'm almost done with my run around,['0'],[0]
okay,['0'],[0]
okay I'm walking backwards the other side,['Move'],[10]
perfect,['0'],[0]
as well I see you,['0'],[0]
awesome,['0'],[0]
yeah,['0'],[0]
just very slowly um where do where should we go first,['Question'],[17]
okay there's,['0'],[0]
I was gonna go to C3 because there's a critical here,"['Room', 'CriticalVictim', 'KnowledgeSharing', 'Move']","[3, 1, 13, 10]"
there's damage in there as well or did that C2,"['Room', 'KnowledgeSharing', 'KnowledgeSharing']","[3, 13, 13]"
okay,['0'],[0]
C2 doesn't have anyone inside,['Room'],[3]
yeah I got the role,['0'],[0]
this is a type B victim,"['Victim', 'Victim']","[2, 2]"
save,['0'],[0]
oh it just disappeared hook Echo,['0'],[0]
I'll get the B if you can get the yeah,"['Plan', 'Plan', 'Plan']","[20, 20, 20]"
okay I'll grab the critical yeah,"['CriticalVictim', 'Plan']","[1, 20]"
7:45,['0'],[0]
OK Google Google,['0'],[0]
okay everywhere is marked there's a lot of credit,['0'],[0]
C5 I'm coming in here yeah,"['Room', 'Move']","[3, 10]"
and then just C6 yeah,"['Room', 'Precedence']","[3, 11]"
there's a lot of critical tools for on the right side,['KnowledgeSharing'],[13]
okay,['0'],[0]
I'll grab this guy when you're done,['Plan'],[20]
some sometimes the ground the come back,['0'],[0]
yeah have you guys been having to break blocks twice okay,['0'],[0]
I did now I'm going to put that down so I can go,"['Plan', 'Plan']","[20, 20]"
okay,['0'],[0]
okay,['0'],[0]
yeah,['0'],[0]
oh nice Jonah run all the way to the other side since there's more criticals there or,['Move'],[10]
yeah if you want to do like the i j hallway,['Plan'],[20]
transport if you want to grab the people on this side while we walk away other side,['Transporter'],[5]
yeah that's what I'm doing right now,['Plan'],[20]
perfect,['0'],[0]
okay cool and then when you get all of them then you can probably help faster than I can with the,"['Instruction', 'HelpRequest', 'Plan', 'Precedence', 'Precedence']","[19, 16, 20, 11, 11]"
I'm quickly out taste,['0'],[0]
oh,['0'],[0]
you're going to jail hallway right,['0'],[0]
yeah I just realized,['0'],[0]
okay,['0'],[0]
I'm on the wrong side that I wanted to be on sorry,['0'],[0]
sorry we can just go into here these ones won't door in storage C,"['Move', 'Plan']","[10, 20]"
there's a guy over here yeah,['KnowledgeSharing'],[13]
storage C I2,['Room'],[3]
I just saw a GPS signal,['0'],[0]
sorry,['0'],[0]
yeah I also lost GPS signal,['0'],[0]
further and further in yeah I lost GPS signal as well,['0'],[0]
okay so we're going to have to save them,['RescueInteractions'],[12]
gone blind,['0'],[0]
we can just we can just go down this hallway that we're currently because we already have everything written at least,"['Plan', 'Move']","[20, 10]"
yeah,['0'],[0]
that's it,['0'],[0]
so this one I'm going in with you i3,['Room'],[3]
so I'm going and I3 out,['Room'],[3]
coming,['0'],[0]
okay perfect,['0'],[0]
then I'll grab him and you can get the other one,"['Plan', 'Plan', 'Precedence']","[20, 20, 11]"
yeah each one of these I'm having to break twice,['Plan'],[20]
I don't have that problem my sometimes the ground will come down again but,['0'],[0]
I'm going to skip this regular one for now because I think there's a lot of critical Zone the other side,"['Plan', 'Victim']","[20, 2]"
okay,['0'],[0]
I'm getting the rubble there,['Rubble'],[7]
this one is one critical,['0'],[0]
middle coming in,['0'],[0]
okay,['0'],[0]
yeah,['0'],[0]
and then you can do the normal I grab the critical sorry,"['CriticalVictim', 'Plan', 'Precedence']","[1, 20, 11]"
that really messed me up,['0'],[0]
oh yeah cuz you can't C you need c stuff,['0'],[0]
yeah,['0'],[0]
I mean,['0'],[0]
yeah now I can't see I have to run around that was how I was fine everything now I have to just kind of honestly I think we're going to do worse this time because I'm not going to be able to move,['0'],[0]
that's not your fault though,['0'],[0]
yeah,['0'],[0]
yeah I know it's just yeah if you can give me a call outs of where critical Czar I'm gonna be some trying to just,['Plan'],[20]
I was broke,['0'],[0]
I mean we put them outside of every room so if you go down through the,"['Plan', 'Move']","[20, 10]"
okay,['0'],[0]
oh it's back on okay B7 is trying to grab critical zone right now,['Room'],[3]
okay,['0'],[0]
there's another person in that thing where I just want to see ya,['KnowledgeSharing'],[13]
it's not a normal person over here okay I'm tripping other is right okay let's start over,['0'],[0]
how to make a get out,['0'],[0]
okay here it is oh my God okay,['0'],[0]
let's hear that yeah,['Instruction'],[19]
we just came down this way then go is there another Hall,['Precedence'],[11]
there's just one person at the top that's help the other side when we go to the middle,"['Instruction', 'KnowledgeSharing', 'Victim']","[19, 13, 2]"
well there is and there's one person at the very end yeah yeah I was gonna say let's go to the middle of the seems very far out of the way,"['KnowledgeSharing', 'Victim']","[13, 2]"
I'm going to walk yeah I'm too slow,['Plan'],[20]
yeah,['0'],[0]
there's Zone in here you could probably do them by the time I get back to the middle,['0'],[0]
I C,['0'],[0]
there's two in here,['0'],[0]
okay I'm here,['0'],[0]
I meant D4 right now,['Room'],[3]
well,['0'],[0]
okay,['0'],[0]
sorry B on you,['0'],[0]
two minutes funny,['0'],[0]
what everyone in this room yeah,['0'],[0]
is there anyone else inside the rooms and said these ones I think there's a lot,['0'],[0]
yeah it's quite a few here,['0'],[0]
we're going to minutes left though so maybe how many people do we need to ground still have you gotten all the transport have you gotten all the people on the a b side,"['Transporter', 'YesNoQuestion', 'YesNoQuestion', 'YesNoQuestion']","[5, 18, 18, 18]"
I think there's still a actually I can tell,"['KnowledgeSharing', 'Plan']","[13, 20]"
sorry transporter,['Transporter'],[5]
which side I'm referring to,['0'],[0]
the a b side have you gotten those people those people medic and you,"['Medic', 'YesNoQuestion']","[6, 18]"
yeah I'm sorry I couldn't find you,['0'],[0]
oh I see what you're saying I'm grabbing I'm just grabbing all the critical Zone because there,"['CriticalVictim', 'Plan']","[1, 20]"
okay,['0'],[0]
worth the most right now on,['0'],[0]
there's someone in here,['KnowledgeSharing'],[13]
I have three more,['0'],[0]
and then over here,['Precedence'],[11]
started two more criticals on a b side,['0'],[0]
there,['0'],[0]
I'm going to put them out here,['Plan'],[20]
this one's a problem,['0'],[0]
okay,['0'],[0]
yeah that was it,['0'],[0]
there's another critical in here that we can grab this was a right yeah,['Plan'],[20]
and I really forgot,['0'],[0]
I think this room,['0'],[0]
yeah,['0'],[0]
perfect,['0'],[0]
30 seconds,['0'],[0]
okay so we start grabbing them maybe,['0'],[0]
oh,['0'],[0]
yeah that sounds good to me let's start the critical Z's to,['CriticalVictim'],[1]
yeah,['0'],[0]
I can't move I'm logging out,['0'],[0]
okay let's go boy the other way,['Instruction'],[19]
you're logging out okay,['0'],[0]
okay I'm sorry,['0'],[0]
it's okay,['0'],[0]
can we make that we cannot,['YesNoQuestion'],[18]
I'm not going to get this window so close,['0'],[0]
okay,['0'],[0]
and we got nearly all the critical,"['CriticalVictim', 'KnowledgeSharing']","[1, 13]"
yeah there's one more critical up on by the m so,['0'],[0]
yeah but the top,['0'],[0]
yeah,['0'],[0]
that we couldn't we couldn't walk up to that one,['Move'],[10]
the medic is finished with the survey,['Medic'],[6]
transporter is completed survey,['Transporter'],[5]
and here is completed,['0'],[0]
pass C what the hell's going on with my overlay,['0'],[0]
it would seem to be working,['0'],[0]
all right all right,['0'],[0]
okay we're going to go all right you tell them no chat sight no I didn't like how much living,['0'],[0]
before every sentence,['0'],[0]
please refer to your teammates with their respective Hall sight sight okay let's get ready formation one is the amount that the gravel will remain in Play Enter sight Zone building a database for two minutes you may use this time for discussions and then you can do yep all right over to you alright perfect so everybody can connect to server one again,"['Move', 'Instruction', 'Plan', 'Precedence', 'Precedence', 'Rubble']","[10, 19, 20, 11, 11, 7]"
and same as before grab your tools by clicking on your role block,['0'],[0]
give me just a second,['0'],[0]
one more moment,['0'],[0]
okay so I have just been informed in response that question earlier about using things in chat in Minecraft we would like you to refrain from that if you okay so just just verbal communication and B marker blocks,"['Plan', 'MarkerBlock']","[20, 8]"
any last minute questions before we begin Mission 1,['0'],[0]
close transporter no questions,['Transporter'],[5]
okay it's transporter tool question great so just keep looking at that Rubble wall we're going to go ahead and start mission 1 in 5 4 3 2 1,"['Rubble', 'Transporter']","[7, 5]"
okay you got two minutes to discuss and then that wall will disappear,['Precedence'],[11]
okay so I dunno room engineer knows rooms with known damage and i4a E5 and C4 are most likely to have critical victims we also know M1 D2 and I2 are dangerous and likely to have critical victims and then possibly M3 B9 and a two,"['KnowledgeSharing', 'KnowledgeSharing', 'Room', 'Room', 'Precedence', 'Precedence', 'Room', 'Room', 'CriticalVictim', 'CriticalVictim', 'Room', 'Room', 'Engineer', 'Room']","[13, 13, 3, 3, 11, 11, 3, 3, 1, 1, 3, 3, 4, 3]"
okay so I dunno room engineer knows rooms with no damage i4a E5 C4 are most likely have critical victims we also know M1 E2 I2 are dangerous and like develop critical victims and then possibly M3 B9 agent,"['KnowledgeSharing', 'Room', 'Room', 'Precedence', 'Precedence', 'Room', 'Room', 'CriticalVictim', 'CriticalVictim', 'Room', 'Room', 'Engineer', 'Room']","[13, 3, 3, 11, 11, 3, 3, 1, 1, 3, 3, 4, 3]"
contact with ice transporter were what area did you guys want to start at fairs,['Transporter'],[5]
got it well as transporter were what area did you guys want to start at first,['Transporter'],[5]
so as medic I can see which meetings were meant to be happening today so which room is are being utilized by people and so I saw some overlap A2 C4 M3,"['Room', 'Room', 'Room', 'Plan', 'Medic', 'Meeting']","[3, 3, 3, 20, 6, 9]"
are all the ones that I heard overlaps but on the left side there's a K2 B9 and C4 in the middle there's D2 and E5 and on the right side there's I2 i4a and 1 M2 M3,"['Room', 'Room', 'Room', 'Room', 'Room', 'Room', 'Room', 'Room', 'KnowledgeSharing', 'KnowledgeSharing', 'KnowledgeSharing']","[3, 3, 3, 3, 3, 3, 3, 3, 13, 13, 13]"
okay,['0'],[0]
it looks like just you,['Search'],[15]
I'm not sure I might show me the same information I notice is that there's critical victims are likely to be an area the most severe damage we have like events so we have two or more attendees at a management meeting lunch a project meeting is it's just information that I'm getting are you guys seeing that to you,"['CriticalVictim', 'Meeting', 'Meeting', 'Meeting']","[1, 9, 9, 9]"
that's yes I'm not sure what room is correlate with what,['0'],[0]
I'm not sure it will show me the same information I noticed that there's critical victims are likely to be there yet the most severe damage we have like event so we have two or more attendees at management meetings lunch project as it's just information I'm getting are you guys saying that to you it looks like just you actually yes I'm not sure what room is correlated with what if it seems like a makes up our information so,"['CriticalVictim', 'Plan', 'Meeting', 'Meeting', 'Search']","[1, 20, 9, 9, 15]"
you should start on the left hand side probably push through C2 when deleted my color overlay from wherever it was and drive or we shall probably move,['Room'],[3]
it seems like a mix of our information so I think we should start on the left hand side probably push through C2 and a tour C4 and a two and then move through the other rooms that you have marked as meeting rooms,"['Room', 'Room', 'Meeting', 'Move', 'Precedence', 'Precedence']","[3, 3, 9, 10, 11, 11]"
that's good,['0'],[0]
yep so let's start with that I think it might be worthwhile for transport to just to run across all the rooms and mark them and I'll follow medic,"['Plan', 'Medic', 'Transporter']","[20, 6, 5]"
sounds good,['0'],[0]
let's move up the C side first,['Instruction'],[19]
got to go C sight I got it,['0'],[0]
let's move up the C side first gonna go C sight,"['Instruction', 'Instruction']","[19, 19]"
transport here at sight C1 no victims we have a critical victim detected here c 2,"['Room', 'CriticalVictim', 'KnowledgeSharing', 'Victim', 'Transporter']","[3, 1, 13, 2, 5]"
this is the danger room so I'll go in with you and Kinnear going with medic,"['Plan', 'Medic', 'ReportLocation']","[20, 6, 14]"
I'll go down the row here and mark the future rooms,"['Plan', 'Move']","[20, 10]"
outside C1 transporter here is not advisor,"['Room', 'Transporter']","[3, 5]"
we got critical and normal in here,['0'],[0]
can you place a marker for that just in case,"['MarkerBlock', 'YesNoQuestion']","[8, 18]"
sounds good,['0'],[0]
all right I'll bring B back to Zone,['Plan'],[20]
because I have to find the ing link and I'm going to over I'm going to be like close out of them watching the whole thing while I'm doing that let's go I just put the audio innocuous they're going to need the discussion during the first 2 minutes anyways so I've got to add that audio later anyways why isn't my people,['0'],[0]
the transporter here just go on down the row of C is all the open the doors for the rooms that have victims and I'll leave markers so the close doors with the no victim marker is obviously no victim,"['Plan', 'Transporter', 'Victim', 'KnowledgeSharing', 'MarkerBlock', 'MarkerBlock', 'Victim', 'Victim']","[20, 5, 2, 13, 8, 8, 2, 2]"
open the door so you didn't do it,['0'],[0]
C2 is clear,['Room'],[3]
C,['0'],[0]
all right so I went down this whole row transporter here went down the whole row of C6 and got B9 over here at the edges well I'll clear,"['Room', 'Room', 'Plan', 'Transporter']","[3, 3, 20, 5]"
I'm in engineer is in C4 with critical victim whenever medic is ready we can wake him up,"['Room', 'CriticalVictim', 'Engineer', 'Plan', 'Medic']","[3, 1, 4, 20, 6]"
all right so what else you doing here hanging out bring me food I got a nice ing friend Alliance,['0'],[0]
perfect,['0'],[0]
you stay for part of it I had to put put it whole new battery in like laptop done that with a slug,['0'],[0]
okay,['0'],[0]
transporter here just making my way around the loop here I'm at A1 to A4 there's a few critical victims I just pass that I marked and a single regular victim,"['Room', 'Room', 'CriticalVictim', 'KnowledgeSharing', 'Victim', 'ReportLocation', 'Transporter', 'Victim']","[3, 3, 1, 13, 2, 14, 5, 2]"
B8 has two victims,"['Room', 'KnowledgeSharing', 'Victim']","[3, 13, 2]"
you should stop,['0'],[0]
okay,['0'],[0]
what yes that's exactly what you should not do,['0'],[0]
and B8 I'll never mind I can take non critical to a engineer,"['Room', 'Plan', 'Engineer', 'Plan']","[3, 20, 4, 20]"
blue,['0'],[0]
don't forget we have Northern zones as well,['Instruction'],[19]
C is going to take yeah Toni Marie has open b as well as the color overlay yeah you mad so mad illusion we found,['0'],[0]
I think that's most of them,['0'],[0]
engineer is clearing out B7 we got a couple victims in here,"['Room', 'Engineer', 'KnowledgeSharing', 'Victim']","[3, 4, 13, 2]"
transport red A1 I can help you transport these guys,"['Room', 'Plan', 'Transporter']","[3, 20, 5]"
transport will take type A,"['Plan', 'Transporter', 'Victim']","[20, 5, 2]"
tell Hugh what I told my about Friday transport interested and I'll reach out to,"['Plan', 'Transporter']","[20, 5]"
transporter is heading there now,"['Move', 'Transporter']","[10, 5]"
engineer is an A4 just cleared out the rubble blocking two victims a critical and a non critical,"['Room', 'CriticalVictim', 'Engineer', 'ReportLocation', 'Rubble', 'Victim']","[3, 1, 4, 14, 7, 2]"
but if you want to book a karaoke room we gotta get a headcount soon and B tomorrow oh this Friday you C we do B you wow so you're not rearranging my schedule so I can hang out this weekend and what fun would that be,['Plan'],[20]
we'll need the medic,"['Plan', 'Medic']","[20, 6]"
actually I'm going to transport here I'm going to take these two victim critical victims back to the save zones that are in the hallway,"['CriticalVictim', 'Plan', 'Plan', 'Victim']","[1, 20, 20, 2]"
I'm going to go down and hang out with instead it's my birthday week dishes push you do some push ups I don't feel like we finished,"['Plan', 'Plan', 'Move']","[20, 20, 10]"
I'll take this a back,['Plan'],[20]
you sure that's the best way to do it shoulders on another day and not doing an a final map,['0'],[0]
transporter just finished taking the two victims to the critical area where are you guys located at the moment,"['CriticalVictim', 'Transporter', 'Victim']","[1, 5, 2]"
are you working my shoulder exercises are already mostly in time anyone you didn't go over,['YesNoQuestion'],[18]
near Zone a and in the north we should clear out B7 if Abel,['Room'],[3]
how's it going tonight green,['0'],[0]
okay,['0'],[0]
is there anyone near B7 or so that needs transport,"['Room', 'Transporter']","[3, 5]"
they are not quite ready yet but we can bring them outside that way medic can take care of them,"['Plan', 'Plan', 'Medic']","[20, 20, 6]"
this looks good I like that,['Search'],[15]
brought outside North Door of B7 in the,['Room'],[3]
C8 okay,['Room'],[3]
on my way,['Move'],[10]
transport here I got trapped in the room of A4,"['Room', 'HelpRequest', 'Transporter']","[3, 16, 5]"
I'll put an SOS symbol to make it easier to find,['Plan'],[20]
will clear that out once C8 is clear,['Room'],[3]
transporter here I got trapped in the room you upload the j4 between mission to do that in three minutes is clear video files here B button getting that man die,"['HelpRequest', 'Room', 'Transporter']","[16, 3, 5]"
make sure we're clearing out our markers when we clean out a room there was no one left in A4,"['Room', 'MarkerBlock', 'Victim']","[3, 8, 2]"
make sure that's not clear that's the quickest thing I do that won't download videos,['0'],[0]
F4 middle is going in there to check,"['Room', 'Move']","[3, 10]"
clearing out C8 right now,['Room'],[3]
clear out C8 right now,['Room'],[3]
metadata is the easiest way we can amend cheese after this I don't have time I will bully,"['Plan', 'Precedence']","[20, 11]"
chat window tell her change if you help me finish first,"['Plan', 'Instruction', 'Instruction']","[20, 19, 19]"
C8 should be fine no Rebels covering doors are we missing anything in a,"['Room', 'YesNoQuestion']","[3, 18]"
are we cleared out A2,"['Room', 'YesNoQuestion']","[3, 18]"
anything and A2,['Room'],[3]
yes,['0'],[0]
all right,['0'],[0]
transporter is over there,['Transporter'],[5]
if you have and then are we C are we did we get everyone on the right North or South Zone actually now that I'm thinking about it,"['Plan', 'Precedence', 'Precedence']","[20, 11, 11]"
I think,['0'],[0]
we've cleared out A and B and C I think we're ready for lower d,['0'],[0]
one save A2 is clear,['Room'],[3]
I'm not going to look at that building,['Search'],[15]
sounds good,['0'],[0]
all right,['0'],[0]
transporter I'll start checking out the rooms near D here and placing markers,"['Plan', 'MarkerBlock', 'Search', 'Transporter']","[20, 8, 15, 5]"
D2 is dangerous,['Room'],[3]
D2 is dangerous likely people in there,['Room'],[3]
back when I was really in a relationship,['0'],[0]
stop the Zone C is blocked,['0'],[0]
coming to clear,['0'],[0]
water,['0'],[0]
Zone C is open,['0'],[0]
so D2 has no victims so we don't have to go in there I'll put the danger block to just in case,"['Room', 'Plan', 'KnowledgeSharing', 'Victim']","[3, 20, 13, 2]"
all right,['0'],[0]
D4 no victims,"['Room', 'Victim']","[3, 2]"
D4 c om,['Room'],[3]
place the victim in C hallway,['Victim'],[2]
transporter here we have a critical victim at D3,"['CriticalVictim', 'Room', 'KnowledgeSharing', 'Transporter']","[1, 3, 13, 5]"
taking B victim back to Zone B engineer,"['Engineer', 'Victim']","[4, 2]"
transporter here we have a critical victim H2 C Detroit achieved here and open it doesn't make sense because it costs more than us kilowatt taking price per kilowatt hours double X and B button 15 days we only managed to spend $20,"['CriticalVictim', 'Room', 'Instruction', 'Transporter']","[1, 3, 19, 5]"
the transporter taking the critical victim back to so-and-so and C A we're or block tin,"['CriticalVictim', 'Transporter']","[1, 5]"
unblocking data storage,['0'],[0]
C where are we,['Question'],[17]
because it's nice Transporter 2,['Transporter'],[5]
okay and is that D cleared up,['0'],[0]
yeah I believe I'll D rooms are cleared,['0'],[0]
did you get a chance to Mark 8 room H1,"['Room', 'YesNoQuestion']","[3, 18]"
I have not there is a critical victim detected here at H1,"['CriticalVictim', 'Room', 'KnowledgeSharing']","[1, 3, 13]"
we're doing it,['0'],[0]
so yeah they're an h1a hear the sub room we have a regular victim and a critical victim in this room,"['CriticalVictim', 'KnowledgeSharing', 'Victim', 'Victim']","[1, 13, 2, 2]"
we're just wondering if you okay have you could I just had to like I needed to get my laptop my conferred upon my car and then I forgot my keys I had to go back with that door doesn't like shut,"['Plan', 'Precedence', 'Precedence', 'YesNoQuestion']","[20, 11, 11, 18]"
Boop,['0'],[0]
got him,['0'],[0]
mark this room clear,['0'],[0]
do you say that was victim type A,"['Victim', 'YesNoQuestion']","[2, 18]"
okay,['0'],[0]
transport,['Transporter'],[5]
perfect engineer dropping off,['Engineer'],[4]
transporter finished with h and h1a,['Transporter'],[5]
I don't know,['0'],[0]
let's move up,"['Instruction', 'Instruction']","[19, 19]"
would you guys want to go up from,['0'],[0]
into yeah Eunice,['0'],[0]
so the transporter going to f-----,['Transporter'],[5]
combined E5 is dangerous very much so,['Room'],[3]
trying to save your mind,['0'],[0]
E5 is dangerous will keep that in mind,['Room'],[3]
D2 and M5 so check on my map now for that,['Room'],[3]
if I got it,['0'],[0]
G3 has two victims,"['Room', 'KnowledgeSharing', 'Victim']","[3, 13, 2]"
so I guess I'll just check these I'm room since they're right next to us or eight rooms I'm sorry,"['Plan', 'ReportLocation', 'Search']","[20, 14, 15]"
said he doesn't want to hang out with us this weekend so Friday is our only chance no Friday I want to hang out yeah but you don't want to hang out with this Saturday Sunday that's just a map to find out,['0'],[0]
you always do,['0'],[0]
I didn't know you guys were two peas in a pod on the weekends help you don't stay in the weekend otherwise you could B,['0'],[0]
so transporter going down to H2 no victim detected on the three rooms I've checked,"['Room', 'KnowledgeSharing', 'Victim', 'Search', 'Transporter']","[3, 13, 2, 15, 5]"
make sure you don't know why you don't want anymore,['0'],[0]
or your love of Aegina,['0'],[0]
critical victim in E2 or E3 my bed,"['CriticalVictim', 'Room', 'Room']","[1, 3, 3]"
chat voted  in 2016 I know,['0'],[0]
transporter taking this a victim,"['Transporter', 'Victim']","[5, 2]"
that's outside of G2,"['Room', 'ReportLocation']","[3, 14]"
against his you know they cut taxes for the rich that they do a lot of things sure Ukraine and Russia yeah right nothing to do with it was also his friend,['0'],[0]
Roger that it shouldn't er right where,['0'],[0]
as long as they get to the right letter,['0'],[0]
sounds good,['0'],[0]
guest place she thought to quote one of his tweets was like s are paying school open oil,['0'],[0]
engineer just clearing out rubble from rooms and checking them visually,"['Engineer', 'Rubble']","[4, 7]"
transporter getting his bearings checking G2,"['Room', 'Search', 'Transporter']","[3, 15, 5]"
right there anything that we missed in this area,['0'],[0]
in terms of like tool over gas basically gas prices are too low in this is bad for America it's what you want so who close the Excel pipeline the only thing that would have made us like you know around opinion Pipeline and the natives close that down because they got upset we tell when B help close that like his first we can do as president yeah so you didn't want it in the first place we did I think everybody wanted so there are tall woman destroy i1a B the first Keystone Pipeline was the one,['Plan'],[20]
yeah it looks good,"['Instruction', 'Search']","[19, 15]"
very move to eye,['Instruction'],[19]
transporter going to eye,['Transporter'],[5]
transport going down the North End of eye,['Transporter'],[5]
my client A1 B close Excel is the one gonna ground elapsed middle no that one's going from Canada to somewhere in Texas to get shipped outside move has so none of that and if none of that would have liked alleviated the crisis we have now no no question just because they die yeah like the u.s. is actually one of the very few like,['Room'],[3]
engineer got a little lost heading to the south end of eye,['Engineer'],[4]
got a critical patient at I4,"['CriticalVictim', 'Room', 'KnowledgeSharing']","[1, 3, 13]"
another critical victim right behind that j4,"['CriticalVictim', 'Room']","[1, 3]"
engineer going to come clear that Rubble,"['Engineer', 'Rubble']","[4, 7]"
so transporter just going down this row here making sure there's no victims and marking,"['KnowledgeSharing', 'Move', 'Victim', 'Transporter']","[13, 10, 2, 5]"
oil and open c as independent countries in the world but because gas prices are such a globally yeah yeah yeah 50 seconds left clear we are magnets like as soon as I get out of here because I have cooling tonight so I've got to get there like chicly so if I finish,['0'],[0]
i4a will be dangerous,['0'],[0]
we got one critical in i4a two three criticals,['0'],[0]
on my way,['Move'],[10]
engineer,['Engineer'],[4]
going to be i4a we can hang like we always help C you're not gonna go with meat and veggies and we're going no you and I are going right as I finish here but you won't be done because we're ahead of us I like 10 minutes we're finishing mission 1 he doesn't need to be there okay 12 seconds,"['Plan', 'Move']","[20, 10]"
transporter here do you guys want me to go ahead and go around the loop here and mark the rest of the room zoom2,['Transporter'],[5]
transporter here,['Transporter'],[5]
run any help transporting or doing anything,"['Instruction', 'Instruction', 'Transporter']","[19, 19, 5]"
help,['0'],[0]
engineer dead,"['HelpRequest', 'Engineer']","[16, 4]"
okay mission one is done thank you guys very much go ahead and disconnect from the server and they're either they're ready to continue,['0'],[0]
all right,['0'],[0]
engineer thank you,['Engineer'],[4]
engineer,['Engineer'],[4]
I don't want your browser has to be building on the survey when you are done it's probably that has no and a tin can you be sure that your browser's are inauguration,['0'],[0]
Yep they're getting up,['0'],[0]
yeah how far back are you guys decide OK button you can wait five minutes I'll be eating my cheese I'll see you guys there,"['Plan', 'Plan', 'Plan']","[20, 20, 20]"
no I have to go to Paulie I should have been there at seven I'm not going to make that,['0'],[0]
yeah I mean I'm not going to make it by seven but I need to get there as soon as I can then she's wow,['Precedence'],[11]
I still have to go home and get my car and everything and so we'll be there at the same time maybe maybe if you go straight with ya but I need you I need you 's buying he said so,['Move'],[10]
this time I know I'm not listening open that go make you bring in food during that session and I'll be  about it yeah I'm very glad about the complain about that and that's true yeah I think wow,['0'],[0]
all right button is up he's close this light and help me please door b b are closed,"['Instruction', 'Instruction']","[19, 19]"
yep,['0'],[0]
for example if you note that once again B Rubble wall room the starting zone will remain in place for two minutes you may use this time for discussion C8 / T thank you narrator just waiting an extra,"['Room', 'Rubble']","[3, 7]"
second here for the test bed to initialize,['0'],[0]
good everybody can connect to server one please,['0'],[0]
once again just select your role so you get here tools,['0'],[0]
and then stand on your starting position there,['Precedence'],[11]
great okay so any questions before we get Mission too,['0'],[0]
nope,['0'],[0]
no questions here from transporter,['Transporter'],[5]
no question here from transporter all right we are going to start and then you'll get two minutes before that wall disappears again to discuss amongst yourselves let's start in 5 4 3 2 1,"['Plan', 'Plan', 'Precedence', 'Precedence', 'Precedence', 'Transporter']","[20, 20, 11, 11, 11, 5]"
all right do you want to go to meeting rooms first,"['Meeting', 'YesNoQuestion']","[9, 18]"
alrighty do you want to go over the meeting room first,"['Meeting', 'Move', 'YesNoQuestion']","[9, 10, 18]"
yeah we can do that so I have the information that I got that the cancelled events are storage rigor in is it reorganization zoom2 meeting and zoom2 from office,"['Plan', 'Meeting']","[20, 9]"
and then it mentions there's two or more attendees and Technical exchange meeting lunch and management meeting,"['KnowledgeSharing', 'Meeting', 'Meeting', 'Meeting', 'Precedence']","[13, 9, 9, 9, 11]"
yeah we can do that so I have information that I got to cancel events are stored organization reorganization zoom2 meeting and zoom2 from office and then it mentions there's two or more attendees and Technical exchange meeting lunch and management meeting,"['KnowledgeSharing', 'Plan', 'Meeting', 'Meeting', 'Meeting', 'Meeting', 'Precedence', 'Precedence']","[13, 20, 9, 9, 9, 9, 11, 11]"
okay does that,['0'],[0]
not sure if we can correlate that with the spots on the map or what,['Plan'],[20]
does that match any of the information you have medic,['Medic'],[6]
okay lunch that door like that open spots on the map door what does that match any of the information you have medic for the medic meetings of the left side there is A1 zoom2,"['Room', 'Meeting', 'Medic', 'Medic', 'Meeting']","[3, 9, 6, 6, 9]"
okay we're any of those the cancelled meetings transport,"['Meeting', 'Transporter']","[9, 5]"
yeah A2 and A4 the zoom meeting in the zoom2 from office,"['Room', 'Room', 'Meeting']","[3, 3, 9]"
okay so we'll skip those for now can you go over the ones that weren't cancelled one more time on the left side,"['Plan', 'YesNoQuestion']","[20, 18]"
j4 zoom2 from Office D2 facilities meeting B6 technical exchange meeting okay where any of those the cancel meetings transport yeah A2 and A4 the zoom meeting at zoom2 from Office okay so skip those for now can you go over the ones that were canceled for more time on Webb said yes so we have the ones with two or more attendees are technical exchange meeting lunch,"['Room', 'Meeting', 'Meeting', 'Meeting', 'Meeting', 'Meeting', 'Transporter', 'YesNoQuestion', 'Room', 'Room', 'Room', 'Room', 'Meeting']","[3, 9, 9, 9, 9, 9, 5, 18, 3, 3, 3, 3, 9]"
yeah so we have the ones with two or more attendees are technical exchange meeting lunch management meeting,"['Meeting', 'Meeting', 'Meeting']","[9, 9, 9]"
okay and room numbers medic,['Medic'],[6]
yeah management meeting,['Meeting'],[9]
okay,['0'],[0]
